pid,first_name,last_name,meal_balance,to_go_boxes_remaining,role,password_hash
730473910,Kayla,Casey,50.75,1,student,testPassword
730560194,Haley,Parker,120.0,0,student,computerScience
730330697,Ryan,Schmelzle,30.5,2,student,ramses123
730578592,Yashvi,Tanneru,75.0,1,student,abcdefg
123456789,Gordon,Ramses,0,0,admin,ch0pped
987654321,Guy,Feeyarey,0,0,admin,flav0rTown!!!
246010000,Martha,Stuart,0,0,admin,sn00psDog
730300911,Chris,Davis,53.07,2,student,chris123
730160295,Riley,Wilson,134.64,0,student,riley123
730606073,Taylor,Smith,71.72,0,student,taylor123
730312663,Jordan,Brown,65.86,1,student,jordan123
730157123,Shawn,Moore,139.32,0,student,shawn123
730912548,Jamie,Johnson,82.47,2,student,jamie123
730485796,Morgan,Williams,24.65,1,student,morgan123
730624395,Alex,Taylor,105.78,0,student,alex123
730429181,Drew,Miller,58.34,3,student,drew123
730318674,Riley,Jones,98.12,1,student,riley123
730721850,Chris,Moore,11.29,0,student,chris123
730845931,Casey,Smith,45.03,2,student,casey123
730372680,Taylor,Davis,76.95,3,student,taylor123
730493786,Jordan,Williams,84.64,1,student,jordan123
730598762,Jamie,Miller,102.56,0,student,jamie123
730782456,Alex,Johnson,36.75,2,student,alex123
730497123,Morgan,Jones,126.32,0,student,morgan123
730624917,Drew,Williams,49.85,3,student,drew123
730123689,Shawn,Davis,117.09,1,student,shawn123
730478123,Riley,Smith,67.48,0,student,riley123
